"Points_m_XYZ:0","Points_m_XYZ:1","Points_m_XYZ:2","X","Y","Z","intensity","laser_id","azimuth","distance_m","adjustedtime","timestamp","vertical_angle"
0.002125527709722519,0.761146605014801,-0.2039494067430496,0.002125527760174525,0.7611465833172366,-0.2039494075407864,23.0,0.0,16.0,0.788,209475485.0,209475485.0,-15.0
0.002779450500383973,0.8847236633300781,-0.2042555510997772,0.002779450472347619,0.8847236528708103,-0.2042555573442294,16.0,2.0,18.0,0.908,209475489.0,209475489.0,-13.0
0.003424463095143437,1.032666087150574,-0.2007310688495636,0.003424463084182078,1.032666119006926,-0.2007310631361252,11.0,4.0,19.0,1.052,209475494.0,209475494.0,-11.0
0.004626435227692127,1.262257218360901,-0.1999232470989227,0.00462643506404365,1.262257220886023,-0.1999232463214151,14.0,6.0,21.0,1.278,209475499.0,209475499.0,-9.0
0.00643866928294301,1.603941679000855,-0.1969408541917801,0.006438669060684342,1.603941657797949,-0.1969408589427183,18.0,8.0,23.0,1.616,209475503.0,209475503.0,-7.0
0.009213627316057682,2.199578523635864,-0.1924398839473724,0.009213627166570497,2.199578596382746,-0.1924398799868292,11.0,10.0,24.0,2.208,209475508.0,209475508.0,-5.0
0.01673980988562107,3.688899517059326,-0.1933290213346481,0.01673980992630309,3.688899519894301,-0.1933290223614345,9.0,12.0,26.0,3.694,209475512.0,209475512.0,-3.0
0.05835049971938133,11.94003868103027,-0.2084166407585144,0.05835050068833018,11.94003859810386,-0.2084166376740397,2.0,14.0,28.0,11.942,209475517.0,209475517.0,-1.0
0.004782412201166153,0.7611345052719116,-0.2039494067430496,0.004782412208981055,0.7611345266752952,-0.2039494075407864,23.0,0.0,36.0,0.788,209475540.0,209475540.0,-15.0
0.005764300003647804,0.8691189885139465,-0.2006563395261765,0.005764299896127703,0.8691189825760325,-0.2006563404747276,18.0,2.0,38.0,0.892,209475545.0,209475545.0,-13.0
0.00713602639734745,1.048353552818298,-0.2037840038537979,0.007136026434002425,1.04835354513276,-0.2037840070621499,11.0,4.0,39.0,1.068,209475549.0,209475549.0,-11.0
0.009032506495714188,1.262233376502991,-0.1999232470989227,0.009032506832680198,1.262233381510973,-0.1999232463214151,13.0,6.0,41.0,1.278,209475554.0,209475554.0,-9.0
0.01217151153832674,1.621774792671204,-0.1991345137357712,0.01217151134820724,1.621774738483732,-0.199134507124011,15.0,8.0,43.0,1.634,209475558.0,209475558.0,-7.0
0.01696803420782089,2.209494590759277,-0.1933114379644394,0.01696803468330192,2.209494687471278,-0.1933114374143058,14.0,10.0,44.0,2.218,209475563.0,209475563.0,-5.0
0.02961637079715729,3.688818693161011,-0.1933290213346481,0.02961637027138968,3.688818613014839,-0.1933290223614345,9.0,12.0,46.0,3.694,209475568.0,209475568.0,-3.0
0.09912402927875519,11.83178234100342,-0.2065317779779434,0.09912402752717797,11.83178241229673,-0.2065317777788131,2.0,14.0,48.0,11.834,209475572.0,209475572.0,-1.0
0.00755252642557025,0.7727037668228149,-0.2070552408695221,0.007552526279801072,0.7727037521313155,-0.2070552360820166,22.0,0.0,56.0,0.8,209475595.0,209475595.0,-15.0
0.008955868892371655,0.8846827149391174,-0.2042555510997772,0.008955868851554725,0.8846826887122365,-0.2042555573442294,16.0,2.0,58.0,0.908,209475600.0,209475600.0,-13.0
0.01079542003571987,1.048322200775147,-0.2037840038537979,0.01079541974485986,1.048322248823436,-0.2037840070621499,11.0,4.0,59.0,1.068,209475605.0,209475605.0,-11.0
0.01345949899405241,1.264169454574585,-0.2002361118793488,0.01345949901027503,1.264169426950115,-0.2002361152514955,14.0,6.0,61.0,1.28,209475609.0,209475609.0,-9.0
0.01772335357964039,1.611797451972961,-0.1979158073663712,0.01772335353094354,1.611797510058586,-0.1979158136899595,14.0,8.0,63.0,1.624,209475614.0,209475614.0,-7.0
0.02454697899520397,2.197468519210815,-0.1922655701637268,0.02454697862378248,2.197468406373412,-0.1922655685013339,9.0,10.0,64.0,2.206,209475618.0,209475618.0,-5.0
0.0423775389790535,3.678707122802734,-0.1928056627511978,0.04237753842996552,3.678707126237322,-0.1928056627990051,9.0,12.0,66.0,3.684,209475623.0,209475623.0,-3.0
0.1424650251865387,12.00332641601563,-0.2095335870981216,0.1424650299249044,12.00332601361821,-0.2095335916860258,2.0,14.0,68.0,12.006,209475628.0,209475628.0,-1.0
0.01050596311688423,0.7919895052909851,-0.2122316211462021,0.0105059627059811,0.7919894983520608,-0.212231616984067,30.0,0.0,76.0,0.8200000000000001,209475651.0,209475651.0,-15.0
0.01217657513916493,0.8943888545036316,-0.2065050750970841,0.01217657560449299,0.8943888348717562,-0.2065050678876681,15.0,2.0,78.0,0.918,209475655.0,209475655.0,-13.0
0.01423813216388226,1.032573580741882,-0.2007310688495636,0.01423813198110031,1.032573637030275,-0.2007310631361252,11.0,4.0,79.0,1.052,209475660.0,209475660.0,-11.0
0.01795596815645695,1.270040273666382,-0.201174721121788,0.0179559677087749,1.270040280634859,-0.2011747220417369,14.0,6.0,81.0,1.286,209475664.0,209475664.0,-9.0
0.02323444746434689,1.60378623008728,-0.1969408541917801,0.02323444679988799,1.603786288306771,-0.1969408589427183,14.0,8.0,83.0,1.616,209475669.0,209475669.0,-7.0
0.03233426064252853,2.205338001251221,-0.1929628103971481,0.03233426090891246,2.205338034817699,-0.1929628144433152,10.0,10.0,84.0,2.214,209475674.0,209475674.0,-5.0
0.05518838763237,3.676539659500122,-0.1927009969949722,0.0551883870913201,3.676539754992676,-0.1927009908865192,10.0,12.0,86.0,3.682,209475678.0,209475678.0,-3.0
0.1831351071596146,11.92277717590332,-0.2081373929977417,0.1831351125614212,11.92277720808426,-0.2081373991710432,2.0,14.0,88.0,11.926,209475683.0,209475683.0,-1.0
0.01334327086806297,0.7880825400352478,-0.2111963480710983,0.01334327057257772,0.7880825228119024,-0.2111963408036569,21.0,0.0,97.0,0.8160000000000001,209475706.0,209475706.0,-15.0
0.01538725290447474,0.8904412984848022,-0.2056052684783936,0.01538725249574696,0.8904412995878513,-0.2056052636702926,16.0,2.0,99.0,0.914,209475711.0,209475711.0,-13.0
0.01795408129692078,1.028588652610779,-0.1999678313732147,0.01795408089103439,1.028588605362911,-0.199967827154619,11.0,4.0,100.0,1.048,209475715.0,209475715.0,-11.0
0.02254044823348522,1.266015768051148,-0.200548991560936,0.02254044841897465,1.266015810773629,-0.200548984181576,13.0,6.0,102.0,1.282,209475720.0,209475720.0,-9.0
0.02922055125236511,1.609644651412964,-0.1976720690727234,0.02922055215766529,1.609644653361589,-0.1976720750031492,13.0,8.0,104.0,1.622,209475724.0,209475724.0,-7.0
0.04056305438280106,2.213172912597656,-0.1936600655317307,0.0405630532883169,2.213172930369313,-0.1936600603852964,15.0,10.0,105.0,2.222,209475729.0,209475729.0,-5.0
0.06862591207027435,3.674315929412842,-0.1925963163375855,0.06862591153944576,3.674315874034653,-0.1925963189740333,11.0,12.0,107.0,3.68,209475734.0,209475734.0,-3.0
0.2266048043966293,11.91003036499023,-0.2079279720783234,0.2266048049448748,11.91002990011131,-0.2079279702937958,2.0,14.0,109.0,11.914,209475738.0,209475738.0,-1.0
0.01593632437288761,0.7803053259849548,-0.2091257870197296,0.01593632525580136,0.7803053492995569,-0.2091257884428368,32.0,0.0,117.0,0.808,209475761.0,209475761.0,-15.0
0.01845490746200085,0.8884338140487671,-0.2051553577184677,0.01845490764522341,0.8884338433481322,-0.2051553615616049,16.0,2.0,119.0,0.912,209475766.0,209475766.0,-13.0
0.02154441550374031,1.028519630432129,-0.1999678313732147,0.02154441577962259,1.028519667411263,-0.199967827154619,13.0,4.0,120.0,1.048,209475770.0,209475770.0,-11.0
0.0269174724817276,1.263954520225525,-0.2002361118793488,0.02691747242575667,1.263954488036337,-0.2002361152514955,14.0,6.0,122.0,1.28,209475775.0,209475775.0,-9.0
0.03488204255700111,1.611517429351807,-0.1979158073663712,0.0348820407015298,1.611517475526697,-0.1979158136899595,11.0,8.0,124.0,1.624,209475780.0,209475780.0,-7.0
